,nodes,TC_i,nodes,PI_i,nodes,CC_i
0,1,0.4219,34,0.1448,1,0.15542329764660495
1,34,0.4138,33,0.3136,34,0.1564186851211073
2,33,0.4,32,0.5578,3,0.18517663966049389
3,2,0.375,1,0.576,32,0.24457540369088812
4,3,0.3611,24,0.7021,33,0.2492233622751933
5,4,0.3438,30,0.7021,2,0.27953510802469134
6,8,0.25,31,0.7267,9,0.3036007136678201
7,9,0.25,5,0.7303,24,0.30582372164552096
8,14,0.25,11,0.7303,14,0.32333541666666676
9,24,0.1875,2,0.7387,31,0.3460064638600538
10,30,0.1875,6,0.7854,4,0.39665964720507535
11,32,0.1875,7,0.7854,8,0.4427115885416667
12,6,0.1429,4,0.8346,30,0.4494090013456363
13,7,0.1429,8,0.8591,6,0.4774848090277778
14,31,0.0833,14,0.8591,7,0.4774848090277778
15,5,0.0,9,0.8722,5,0.5294174382716048
16,11,0.0,3,0.9069,11,0.5294174382716048
