,nodes,TC_i,nodes,PI_i,nodes,CC_i
0,4327,0.5758,2503,0.2593,2682,0.097191396
1,4363,0.5781,2544,0.2687,2583,0.121121881
2,4333,0.5862,2504,0.2984,1067,0.121127778
3,4361,0.5893,2625,0.3088,3289,0.123645679
4,4353,0.6,4317,0.3284,2543,0.124936635
5,4373,0.6,2432,0.3485,2414,0.129075858
6,2544,0.6042,2583,0.3485,1127,0.132923554
7,2682,0.6042,537,0.3693,2503,0.13333205
8,4317,0.6042,4353,0.3916,1501,0.135885631
9,4319,0.6087,520,0.3919,836,0.137548011
10,4372,0.6087,536,0.3919,2525,0.137669563
11,2625,0.6136,2916,0.3978,3876,0.142669297
12,4341,0.6136,303,0.3979,4329,0.1478626
13,4384,0.6136,3289,0.3979,4327,0.148560828
14,4330,0.619,3110,0.4022,2675,0.150095266
15,299,0.625,3111,0.4022,2509,0.154856824
16,4338,0.625,3256,0.4022,712,0.155844671
17,4382,0.625,4341,0.4118,2500,0.157030598
18,4397,0.625,2736,0.4161,2558,0.160108025
19,2495,0.6316,2738,0.4161,4373,0.162027699
20,2839,0.6316,4406,0.4161,4369,0.165569465
21,4354,0.6316,4422,0.4161,4157,0.168537858
22,2503,0.6389,4373,0.4169,2893,0.169543257
23,2810,0.6389,3108,0.4185,2625,0.170068137
24,4334,0.6389,2452,0.4213,2567,0.170247396
25,4352,0.6471,4203,0.4238,2544,0.171010437
26,4379,0.6471,495,0.4248,2432,0.171389029
27,4392,0.6471,3183,0.425,4437,0.176287709
28,2750,0.6562,3876,0.4255,4317,0.17753454
29,2755,0.6562,532,0.4304,4353,0.178017403
30,2775,0.6562,3130,0.4316,3780,0.178836806
31,2876,0.6562,4157,0.4339,4173,0.182547743
32,3103,0.6562,4327,0.4352,4361,0.183253092
33,4324,0.6562,4365,0.4421,4203,0.184452948
34,3876,0.6667,2811,0.4431,303,0.18627551
35,4316,0.6667,2810,0.4442,665,0.186401644
36,4356,0.6667,2795,0.4473,4148,0.188168934
37,2698,0.6786,121,0.4481,3888,0.188368056
38,2712,0.6786,245,0.4481,1457,0.188474392
39,2795,0.6786,2567,0.4481,2805,0.188704334
40,2834,0.6786,2571,0.4481,4319,0.188956353
41,2835,0.6786,2912,0.4481,2571,0.189058957
42,2893,0.6786,2872,0.4568,2199,0.192962963
43,2916,0.6786,2264,0.4589,3768,0.193144758
44,2969,0.6786,2654,0.4603,121,0.193696145
45,4321,0.6786,2972,0.4616,1117,0.19527486
46,4348,0.6786,2694,0.4629,4333,0.197567218
47,261,0.6923,4073,0.4629,4384,0.198296875
48,2492,0.6923,2760,0.4663,532,0.198640873
49,2555,0.6923,2974,0.4663,4372,0.200759045
50,4329,0.6923,4144,0.4663,4324,0.200761255
51,262,0.7083,4202,0.4663,2533,0.202135417
