,TC,TC_i,PI,PI_i,CC,CC_i
0,4345,0.4242,4384,0.04175173582841707,2553,0.09719139641082657
1,4384,0.4219,4345,0.043395997153222586,2617,0.12112188143004114
2,4352,0.4138,4352,0.04576407703009446,1091,0.1211277777777778
3,4381,0.4107,4381,0.04848884514117527,3312,0.12364567901234569
4,4373,0.4,4395,0.05627557021221517,2586,0.12493663540366838
5,4395,0.4,4373,0.05683109797681291,490,0.1290758580968371
6,2585,0.3958,4332,0.058686823634357614,1170,0.1329235537190083
7,2553,0.3958,4336,0.060836501901140684,2542,0.13333204979059124
8,4332,0.3958,4347,0.06097226371723503,1530,0.13588563100137174
9,4336,0.3913,4402,0.06364359586316627,854,0.1375480109739369
10,4392,0.3913,4392,0.06381458035531958,2561,0.1376695625666819
11,2662,0.3864,4361,0.06436870393614624,3895,0.14266929651545038
12,4361,0.3864,4413,0.0655935560890498,4346,0.14786259966184212
13,4402,0.3864,4401,0.06589829257523938,4345,0.148560828149904
14,4347,0.381,313,0.06846360816907773,2717,0.15009526627218936
15,313,0.375,4344,0.07048656878431815,2548,0.1548568244170096
16,4359,0.375,2553,0.07094563436038963,725,0.1558446712018141
17,4401,0.375,2585,0.07251894557453134,2538,0.15703059824752943
18,4413,0.375,2662,0.07271458072772753,2596,0.16010802469135801
19,2533,0.3684,4359,0.07415976980807451,4395,0.16202769936846984
20,2883,0.3684,4374,0.07490917262818832,4391,0.16556946515129534
21,4374,0.3684,4398,0.07563495545101125,4172,0.1685378578514739
22,2542,0.3611,4408,0.07581328703668605,2936,0.1695432571176619
23,2851,0.3611,2883,0.08130411805357941,2662,0.1700681365653257
24,4344,0.3611,2851,0.08151487238846727,2604,0.17024739583333331
25,4372,0.3529,4335,0.08235671989655996,2585,0.1710104372123603
26,4398,0.3529,2533,0.08578389321620973,2458,0.1713890288625738
27,4408,0.3529,4372,0.08931202943724491,4448,0.17628770933921561
28,2798,0.3438,4376,0.09052886965653346,4332,0.1775345400196926
29,2800,0.3438,2819,0.09062321585543784,4373,0.17801740269755725
30,2819,0.3438,2542,0.09571209800918835,3796,0.17883680555555553
31,2918,0.3438,3128,0.09592602185194778,4187,0.18254774305555554
32,3128,0.3438,2798,0.09744499230184561,4381,0.18325309155655117
33,4342,0.3438,2800,0.09744499230184561,4218,0.18445294784580493
34,3895,0.3333,4342,0.09973371099165229,316,0.1862755102040816
35,4335,0.3333,2837,0.10025866736179342,680,0.18640164399092973
36,4376,0.3333,2918,0.10677144504473723,4164,0.1881689342403628
37,2740,0.3214,3005,0.10722250814891063,3904,0.18836805555555558
38,2760,0.3214,4333,0.10786206599001197,1489,0.1884743923611111
39,2837,0.3214,2880,0.10931470610741263,2846,0.18870433358528596
40,2878,0.3214,2878,0.10952302721647227,4336,0.18895635337728223
41,2880,0.3214,2740,0.1096226787397777,2606,0.18905895691609972
42,2936,0.3214,280,0.10979238260449489,2221,0.19296296296296298
43,2959,0.3214,279,0.11066353857730954,3785,0.19314475771412115
