,nodes_name,new_name
0,6,1
1,1,2
2,8,3
3,54,4
4,76,5
5,85,6
6,56,7
7,2,8
8,75,9
9,3,10
10,19,11
11,4,12
12,16,13
13,5,14
14,17,15
15,20,16
16,40,17
17,93,18
18,45,19
19,89,20
20,61,21
21,7,22
22,28,23
23,38,24
24,39,25
25,42,26
26,72,27
27,9,28
28,95,29
29,10,30
30,11,31
31,94,32
32,15,33
33,12,34
34,24,35
35,13,36
36,41,37
37,14,38
38,50,39
39,21,40
40,33,41
41,84,42
42,18,43
43,96,44
44,53,45
45,22,46
46,65,47
47,68,48
48,51,49
49,23,50
50,25,51
51,26,52
52,27,53
53,32,54
54,78,55
55,29,56
56,64,57
57,30,58
58,31,59
59,55,60
60,58,61
61,34,62
62,35,63
63,36,64
64,37,65
65,59,66
66,66,67
67,81,68
68,88,69
69,43,70
70,74,71
71,44,72
72,79,73
73,83,74
74,46,75
75,47,76
76,73,77
77,48,78
78,87,79
79,70,80
80,49,81
81,77,82
82,52,83
83,57,84
84,67,85
85,92,86
86,80,87
87,90,88
88,60,89
89,62,90
90,63,91
91,91,92
92,69,93
93,71,94
94,82,95
95,86,96
