,nodes,TR
0,1,1413
1,47,1256
2,110,1213
3,4,1075
4,5,1062
5,112,1014
6,52,968
7,110,939
8,54,933
9,51,926
10,115,851
11,5,830
12,56,826
13,117,757
14,57,753
15,111,740
16,114,727
17,47,717
18,2,706
19,1,677
20,116,673
21,50,667
22,55,649
23,49,642
24,48,618
25,9,604
26,113,572
27,65,547
28,58,523
29,10,519
30,6,511
31,60,507
32,7,506
33,59,449
34,63,425
35,8,410
36,64,410
37,68,402
38,118,359
39,18,350
40,121,341
41,14,317
42,13,273
43,12,225
44,120,217
45,122,210
46,62,203
47,67,203
48,16,202
49,17,186
50,61,185
51,23,174
52,28,168
53,71,165
54,21,164
55,66,155
56,201,153
57,11,148
58,25,148
59,29,137
60,27,130
61,15,122
62,144,117
63,19,112
64,74,111
65,53,98
66,69,92
67,119,89
68,123,87
69,72,85
70,20,84
71,32,84
72,33,83
73,26,81
74,152,76
75,219,73
76,70,71
77,22,66
78,82,65
79,164,64
80,79,50
81,96,50
82,205,49
83,226,46
84,124,45
85,30,42
86,83,35
87,160,35
88,256,35
89,31,34
90,105,34
91,163,33
92,85,32
93,127,32
94,200,31
95,75,30
96,132,30
97,157,29
98,197,29
99,257,29
100,73,28
101,128,28
102,134,28
103,125,27
104,153,27
105,84,26
106,81,25
107,196,25
108,223,25
109,224,25
110,34,24
111,133,24
112,225,23
113,131,22
114,229,21
115,238,21
116,129,20
117,154,20
118,198,19
119,239,19
120,240,19
121,258,19
122,108,18
123,143,18
124,155,18
125,320,18
126,76,17
127,86,17
128,165,17
129,168,17
130,169,17
131,260,17
132,35,15
133,87,15
134,243,15
135,93,14
136,259,14
137,78,13
138,156,13
139,161,13
140,183,12
141,202,12
142,38,11
143,77,11
144,208,11
145,24,10
146,39,10
147,80,10
148,130,10
149,173,10
150,203,10
151,231,10
152,232,10
153,89,9
154,126,9
155,151,9
156,253,9
157,40,8
158,90,8
159,184,8
160,263,8
161,272,8
162,167,7
163,206,7
164,252,7
165,36,6
166,103,6
167,137,6
168,158,6
169,186,6
170,204,6
171,207,6
172,262,6
173,319,6
174,328,6
175,37,5
176,45,5
177,140,5
178,176,5
179,227,5
180,245,5
181,251,5
182,261,5
183,266,5
184,286,5
185,287,5
186,199,4
187,247,4
188,255,4
189,306,4
190,314,4
191,41,3
192,91,3
193,94,3
194,139,3
195,162,3
196,171,3
197,174,3
198,175,3
199,178,3
200,185,3
201,188,3
202,194,3
203,211,3
204,215,3
205,234,3
206,241,3
207,246,3
208,250,3
209,268,3
210,271,3
211,278,3
212,279,3
213,282,3
214,283,3
215,284,3
216,285,3
217,303,3
218,304,3
219,321,3
220,331,3
221,42,2
222,43,2
223,172,2
224,191,2
225,213,2
226,216,2
227,220,2
228,228,2
229,254,2
230,300,2
231,313,2
232,325,2
233,88,1
234,92,1
235,95,1
236,107,1
237,135,1
238,136,1
239,138,1
240,145,1
241,146,1
242,150,1
243,170,1
244,179,1
245,187,1
246,193,1
247,209,1
248,210,1
249,212,1
250,217,1
251,218,1
252,221,1
253,222,1
254,235,1
255,236,1
256,242,1
257,248,1
258,265,1
259,269,1
260,276,1
261,277,1
262,293,1
263,297,1
264,301,1
265,307,1
266,310,1
267,316,1
268,324,1
269,326,1
270,329,1
271,330,1
272,44,0
273,97,0
274,98,0
275,99,0
276,100,0
277,101,0
278,102,0
279,104,0
280,106,0
281,141,0
282,142,0
283,147,0
284,148,0
285,149,0
286,159,0
287,166,0
288,177,0
289,180,0
290,181,0
291,182,0
292,189,0
293,190,0
294,192,0
295,195,0
296,214,0
297,230,0
298,233,0
299,237,0
300,244,0
301,249,0
302,264,0
303,267,0
304,270,0
305,273,0
306,274,0
307,275,0
308,280,0
309,281,0
310,288,0
311,289,0
312,290,0
313,291,0
314,292,0
315,294,0
316,295,0
317,296,0
318,298,0
319,299,0
320,302,0
321,305,0
322,308,0
323,309,0
324,311,0
325,312,0
326,315,0
327,317,0
328,318,0
329,322,0
330,323,0
331,327,0
