,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,1.0,0.12535315342504366,0.8889656317120858,1.0,1.0,0.7965177785964489,1.0,1.0,-0.03148052797956386,1.0
TR,1.0,1.0,0.12535315342504366,0.8889656317120858,1.0,1.0,0.7965177785964489,1.0,1.0,-0.03148052797956386,1.0
BC,0.12535315342504366,0.12535315342504366,1.0,0.5657961452596081,0.12535315342504366,0.12535315342504366,-0.5,0.12535315342504366,0.12535315342504366,0.9876742760207549,0.12535315342504366
CNC,0.8889656317120858,0.8889656317120858,0.5657961452596081,1.0,0.8889656317120858,0.8889656317120858,0.4311789830910939,0.8889656317120858,0.8889656317120858,0.4297618185241006,0.8889656317120858
DC,1.0,1.0,0.12535315342504366,0.8889656317120858,1.0,1.0,0.7965177785964489,1.0,1.0,-0.03148052797956386,1.0
EC,1.0,1.0,0.12535315342504366,0.8889656317120858,1.0,1.0,0.7965177785964489,1.0,1.0,-0.03148052797956386,1.0
PR,0.7965177785964489,0.7965177785964489,-0.5,0.4311789830910939,0.7965177785964489,0.7965177785964489,1.0,0.7965177785964489,0.7965177785964489,-0.6293902396538233,0.7965177785964489
TC,1.0,1.0,0.12535315342504366,0.8889656317120858,1.0,1.0,0.7965177785964489,1.0,1.0,-0.03148052797956386,1.0
PI,1.0,1.0,0.12535315342504366,0.8889656317120858,1.0,1.0,0.7965177785964489,1.0,1.0,-0.03148052797956386,1.0
CC,-0.03148052797956386,-0.03148052797956386,0.9876742760207549,0.4297618185241006,-0.03148052797956386,-0.03148052797956386,-0.6293902396538233,-0.03148052797956386,-0.03148052797956386,1.0,-0.03148052797956386
TPN,1.0,1.0,0.12535315342504366,0.8889656317120858,1.0,1.0,0.7965177785964489,1.0,1.0,-0.03148052797956386,1.0
