,nodes,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
nodes_tr,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
nodes_bc,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337
nodes_cnc,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
nodes_dc,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
nodes_ec,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
nodes_pr,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337
nodes_TC,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
nodes_PI,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
nodes_CC,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337
nodes_TPN,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
